seguridad.fecha_hecho;seguridad.cantidad;seguridad.latitud;seguridad.longitud;seguridad.sexo;seguridad.edad;seguridad.estado_civil;seguridad.grupo_actor;seguridad.actividad_delictiva;seguridad.parentesco;seguridad.ocupacion;seguridad.discapacidad;seguridad.grupo_especial;seguridad.medio_transporte;seguridad.nivel_academico;seguridad.testigo;seguridad.conducta;seguridad.modalidad;seguridad.caracterizacion;seguridad.conducta_especial;seguridad.arma_medio;seguridad.articulo_penal;seguridad.categoria_penal;seguridad.nombre_barrio;seguridad.codigo_barrio;seguridad.codigo_comuna;seguridad.lugar;seguridad.sede_receptora;seguridad.bien;seguridad.categoria_bien;seguridad.grupo_bien;seguridad.modelo;seguridad.color;seguridad.permiso;seguridad.unidad_medida
2013-10-14 06:00:00;1.0;6.30939500000;-75.57153500000;Mujer;25;Casado(a);Sin dato;Sin dato;Sin dato;Estudiante;Sin dato;Sin dato;Sin dato;Bachillerato;1;reincidencia violencia intrafamiliar;Física;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Tejelo;#0504;5;Residencia;Comisaría 6 - 12 de octubre;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-22 21:00:00;1.0;6.27545800000;-75.55057000000;Mujer;48;Casado(a);Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Bachillerato;1;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Campo Valdés No.2;#0303;3;Residencia;Comisaría 3 - manrique;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-22 21:00:00;1.0;6.27545800000;-75.55057000000;Mujer;84;Viudo(a);Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Primaria;1;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Campo Valdés No.2;#0303;3;Residencia;Comisaría 3 - manrique;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-23 00:00:00;1.0;6.29282800000;-75.56190100000;Mujer;44;Casado(a);Sin dato;Sin dato;Sin dato;Obrero;Sin dato;Sin dato;Sin dato;Primaria;1;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Santa Cruz;#0210;2;Vía pública;Comisaría 2 - villa del socorro;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-24 00:00:00;1.0;NaN;NaN;Mujer;31;Soltero(a);Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Bachillerato;1;reincidencia violencia intrafamiliar;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato 60 San Cristobal;SIN DATO 60 SAN CRISTOBAL;60;Residencia;Comisaría san cristobal;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-24 19:00:00;1.0;6.28953300000;-75.58230600000;Hombre;72;Viudo(a);Sin dato;Sin dato;Sin dato;Pensionado/jubilado;Sin dato;Sin dato;Sin dato;Primaria;0;reincidencia violencia intrafamiliar;Física;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Kennedy;#0607;6;Residencia;Comisaría 6 - 12 de octubre;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-24 18:00:00;1.0;6.27012100000;-75.54962200000;Mujer;43;Sin dato;Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Bachillerato;0;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Campo Valdés No.2;#0303;3;Residencia;Comisaría 3 - manrique;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-24 15:00:00;1.0;6.28729900000;-75.54204500000;Mujer;47;Soltero(a);Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Primaria;1;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Aldea Pablo VI;#0109;1;Residencia;Comisaría 1 - comuna uno;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-24 19:00:00;1.0;6.23267600000;-75.53390900000;Mujer;37;Casado(a);Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Primaria;0;reincidencia violencia intrafamiliar;Física;Sin dato;Sin dato;Arma cortopunzante;Sin dato;Sin dato;Las Estancias;#0815;8;Residencia;Comisaría 8 - villa hermosa;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-24 16:00:00;1.0;6.23386800000;-75.55858400000;Mujer;43;Casado(a);Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Bachillerato;0;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Loreto;#0913;9;Residencia;Comisaría 9 - bueno aires;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
